scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,179,33,1.6795566979311596,1.1232062304257318,2872460.285814248,8320000.0,5447539.714185752,3893.809708330927,0.0,179,0
A1,Alta demanda con flota de motos,,147,13,0.8281972059298881,0.23790967851664285,2609617.0803847928,6860000.0,4250382.919615207,3342.463652010883,0.0,147,0
A1,Alta demanda con flota de motos,,185,29,1.50584900385892,0.987886239881779,2837099.9621065506,7900000.0,5062900.03789345,3819.6370661483597,0.0,185,0
A1,Alta demanda con flota de motos,,193,24,1.7342933586113014,1.2137242501229297,2934650.4444989725,8140000.0,5205349.555501027,4024.261239983491,0.0,193,0
A1,Alta demanda con flota de motos,,176,28,1.0788091624920113,0.5203884300957227,2879255.8874491085,7580000.0,4700744.112550892,3908.0643212876525,0.0,176,0
A1,Alta demanda con flota de motos,,165,27,1.345835693464424,0.7427938644761204,2820372.1563464976,6950000.0,4129627.8436535024,3784.548429477598,0.0,165,0
A1,Alta demanda con flota de motos,,187,21,1.090015870461426,0.5558076101008576,2875349.726491336,7910000.0,5034650.273508664,3899.8706666869994,0.0,187,0
A1,Alta demanda con flota de motos,,172,27,1.476131515897796,0.8833314639447699,2925368.7843911247,8060000.0,5134631.215608875,4004.7918126182103,0.0,172,0
A1,Alta demanda con flota de motos,,189,12,1.0221261823116563,0.5067425337349826,2839112.660037102,8270000.0,5430887.339962898,3823.858948409913,0.0,189,0
A1,Alta demanda con flota de motos,,185,36,1.869191759464953,1.327270243307413,2891343.4330399698,8750000.0,5858656.56696003,3933.419439679328,0.0,185,0
A1,Alta demanda con flota de motos,,173,37,1.5413895501580837,0.9754982561925287,2900636.2334513147,7890000.0,4989363.766548686,3952.9122352058266,0.0,173,0
A1,Alta demanda con flota de motos,,168,38,1.8608381699375205,1.2677829906504587,2890451.967431564,7590000.0,4699548.032568436,3931.549480565353,0.0,168,0
A1,Alta demanda con flota de motos,,171,37,1.168569933623683,0.5770077504596524,2933700.692185571,7380000.0,4446299.307814429,4022.269017313634,0.0,171,0
A1,Alta demanda con flota de motos,,177,36,1.7613874888741132,1.184526708500641,2933322.220028856,7710000.0,4776677.779971144,4021.4751252642222,0.0,177,0
A1,Alta demanda con flota de motos,,182,30,1.4759990102457574,0.913880626066996,2957504.924124772,7910000.0,4952495.075875228,4072.2013310744574,0.0,182,0
A1,Alta demanda con flota de motos,,175,20,1.3167916292484034,0.7383781737831611,2873618.7024541968,8050000.0,5176381.297545804,3896.2396301733756,0.0,175,0
A1,Alta demanda con flota de motos,,174,33,1.6442346132543886,1.1020993314219738,2810409.818424038,8220000.0,5409590.181575961,3763.651196405506,0.0,174,0
A1,Alta demanda con flota de motos,,181,46,1.6442609423273506,1.0939663174973335,2876317.9080303498,7730000.0,4853682.09196965,3901.9015469316137,0.0,181,0
A1,Alta demanda con flota de motos,,178,33,1.2518631969452079,0.6971934260281385,2836281.8612923604,8040000.0,5203718.13870764,3817.9209987429235,0.0,178,0
A1,Alta demanda con flota de motos,,174,33,1.4060992107296766,0.8317690174536645,2890828.541855654,7470000.0,4579171.458144346,3932.339391886425,0.0,174,0
A1,Alta demanda con flota de motos,,175,14,0.9927978427491608,0.4128024714355066,2857646.248887001,7350000.0,4492353.751112999,3862.735437932073,0.0,175,0
A1,Alta demanda con flota de motos,,182,31,1.1683025179530777,0.6538488623589063,2784903.8307743687,8260000.0,5475096.169225631,3710.149240057735,0.0,182,0
A1,Alta demanda con flota de motos,,179,35,1.1401352406557268,0.5762578118417264,2863800.0705450885,8270000.0,5406199.9294549115,3875.6438381965536,0.0,179,0
A1,Alta demanda con flota de motos,,173,37,1.494186132345869,0.9296150365312349,2824136.90197376,7840000.0,5015863.09802624,3792.4454479728847,0.0,173,0
A1,Alta demanda con flota de motos,,178,26,1.4962942356904982,0.9330723786028065,2893923.3907746924,8290000.0,5396076.609225308,3938.8312193758493,0.0,178,0
A1,Alta demanda con flota de motos,,177,21,0.8316924071309512,0.295228134908751,2775117.4685070147,7960000.0,5184882.531492986,3689.621137636337,0.0,177,0
A1,Alta demanda con flota de motos,,187,39,1.5311818056210487,0.9981583329060135,2898716.9937437903,8260000.0,5361283.00625621,3948.88639309913,0.0,187,0
A1,Alta demanda con flota de motos,,185,55,1.8698540659119236,1.3144267979992563,2938992.0239143353,8050000.0,5111007.976085665,4033.3682385263974,0.0,185,0
A1,Alta demanda con flota de motos,,182,43,1.3624475850227742,0.8256806808339159,2848603.4932406745,8960000.0,6111396.506759325,3843.767142153905,0.0,182,0
A1,Alta demanda con flota de motos,,185,5,0.8997853286140367,0.3709601403433319,2783044.191295073,8300000.0,5516955.808704928,3706.248416783985,0.0,185,0
A1,Alta demanda con flota de motos,,178,13,1.142367246498554,0.5992949691238932,2865102.162918086,7990000.0,5124897.837081914,3878.3751376176087,0.0,178,0
